FIRE_NUM, XStart, YStart, FireSize
321, 375764.461679, 5732382.400835, 0.593053
322, 373024.768798, 5731564.271733, 2.767580
323, 376991.747017, 5729380.086882, 57.229606
324, 375926.819439, 5730082.241336, 33.112121
325, 372740.457789, 5732715.505103, 36.670439
326, 376413.891591, 5728835.427700, 65.631189
327, 372482.521677, 5729028.687765, 78.777196
328, 380434.075269, 5730006.776389, 75.120036
329, 375660.657178, 5728316.195654, 94.394256
330, 374151.401570, 5730804.100848, 45.467390
331, 375097.828135, 5732924.611538, 0.494211
332, 379515.982454, 5725160.603709, 59.799502
333, 376459.397774, 5731751.798283, 28.466540
334, 374318.119410, 5731149.174612, 30.245699
335, 376419.093521, 5726169.492685, 31.332962
336, 373278.409622, 5727841.412721, 104.179629
337, 377629.008444, 5730894.582294, 0.098842
338, 373987.870251, 5730074.470662, 87.969516
339, 372186.177430, 5728727.529467, 21.547589
340, 380325.719944, 5727925.661765, 67.904559
341, 374700.508470, 5726557.211324, 49.223392
342, 378641.185495, 5726800.113988, 78.480669
343, 378123.693725, 5729091.854419, 49.223392
344, 372330.406822, 5731377.076230, 2.569896
345, 377134.038784, 5725845.442089, 62.468240
346, 380399.037143, 5728122.391280, 73.637404
347, 379979.989903, 5725570.226852, 56.636553
348, 372839.649486, 5727002.444736, 62.567083
349, 379039.149887, 5725276.023878, 129.087851
350, 381947.947373, 5731125.446428, 1.976843
351, 378785.313574, 5727905.209891, 75.515405
352, 379467.267269, 5724905.897640, 74.526983
353, 374646.669906, 5730181.915802, 80.457512
354, 375077.286594, 5728532.761137, 51.990972
355, 380717.890429, 5726007.860220, 41.019493
356, 374244.687048, 5727554.265211, 44.577811
357, 372708.843381, 5727955.134340, 31.332962
358, 372676.737571, 5729262.858661, 85.893831
359, 373727.471960, 5727744.193307, 84.510041
360, 373823.248335, 5730128.805144, 63.753188
361, 381833.732283, 5726789.069196, 14.430954
362, 380507.434071, 5726281.314084, 44.874337
363, 376124.672236, 5730976.256446, 69.881402
364, 375628.101241, 5726237.173497, 40.821809
365, 377724.782868, 5726913.464892, 30.739909
366, 377354.692892, 5732698.037551, 32.024857
367, 372703.472923, 5728099.834241, 28.565382
368, 378258.836953, 5728568.265041, 86.981094
369, 373700.869247, 5729341.404427, 67.212664
370, 379057.158132, 5729536.877290, 39.833388
371, 381001.538425, 5728327.105104, 77.096879
372, 377774.549228, 5726492.125805, 113.470791
373, 374078.284513, 5729751.035687, 98.940995
374, 375673.180543, 5731746.136198, 28.367698
375, 377491.921099, 5726425.470352, 42.205599
376, 373600.880332, 5728184.177858, 82.434355
377, 379168.730008, 5732014.077884, 21.349905
378, 381412.244950, 5728297.166013, 126.517955
379, 379800.402279, 5727053.389497, 88.859095
380, 377127.018683, 5724913.399444, 24.117485
381, 379062.177407, 5728331.053705, 39.042650
382, 372358.402804, 5728798.899268, 57.526133
383, 376324.615457, 5726344.731977, 34.594753
384, 374655.056722, 5730071.882162, 88.661411
385, 380969.638172, 5727766.718382, 57.328449
386, 377776.462052, 5726822.825602, 70.672139
387, 378071.991197, 5727212.311653, 72.154771
388, 376358.706903, 5728496.806367, 70.770981
389, 381613.152322, 5728283.350658, 86.190357
390, 377440.568255, 5728899.750561, 73.538562
391, 376729.818065, 5725556.719096, 77.195721
392, 375545.873087, 5728620.656652, 107.737946
393, 374470.899103, 5729064.258816, 26.885066
394, 375299.200493, 5726481.259040, 41.909073
395, 375970.212465, 5726564.845738, 38.844966
396, 381254.057094, 5730085.578180, 31.431805
397, 379262.441086, 5729770.661126, 26.094328
398, 375925.715673, 5730172.712857, 32.519068
399, 378000.978625, 5727605.771904, 89.550990
400, 375122.806202, 5727862.309876, 89.847517
401, 378395.339511, 5724074.540712, 0.988422
402, 374657.973778, 5731133.361657, 37.757702
403, 377377.459413, 5732362.304488, 36.966965
404, 376165.407016, 5732048.131290, 23.919801
405, 378339.386221, 5730424.280981, 2.866422
406, 372377.170905, 5729173.696615, 86.388041
407, 373817.223758, 5727566.797708, 110.209000
408, 380935.484537, 5724613.780474, 8.994636
409, 372495.509651, 5725674.753279, 0.197684
410, 376420.059400, 5730448.146322, 52.287499
411, 379895.589262, 5728678.811217, 101.510891
412, 372196.591372, 5728035.638080, 16.012429
413, 377814.581758, 5729089.595881, 82.533197
414, 380980.863045, 5726870.950523, 23.623274
415, 379202.817948, 5728759.273752, 76.108458
416, 373498.909862, 5730186.275389, 53.967815
417, 381876.356432, 5728384.359561, 36.769281
418, 373742.003899, 5729555.199192, 83.818145
419, 380815.780650, 5728579.439568, 113.668476
420, 377805.977813, 5726086.867351, 80.457512
421, 380984.027535, 5728113.365240, 98.842153
422, 379666.143548, 5729076.551783, 72.055929
423, 379991.385650, 5729767.113909, 87.178779
424, 372948.138633, 5732680.954645, 18.285798
425, 377494.710443, 5730855.049595, 20.658010
426, 377513.655431, 5728943.022092, 85.597304
427, 372974.910922, 5726792.754463, 79.469091
428, 378870.735797, 5728316.515273, 44.874337
429, 380042.657633, 5725472.780329, 42.798652
430, 379285.308730, 5725241.232211, 69.387191
431, 372645.502072, 5727357.499746, 26.786223
432, 380275.116488, 5732792.752809, 15.419376
433, 373893.754392, 5724831.501407, 9.291162
434, 375785.291781, 5730000.816235, 42.600968
435, 373448.575879, 5725259.434658, 21.053379
436, 378494.053841, 5725732.999767, 88.760253
437, 379215.948637, 5729214.693285, 49.915287
438, 378819.476806, 5729404.281071, 38.746124
439, 377707.205234, 5727281.500574, 64.247399
440, 379556.076116, 5726251.526865, 63.950873
441, 374839.718965, 5728162.463711, 64.346241
442, 380584.105419, 5729592.154510, 94.394256
443, 375286.592825, 5731864.494874, 15.715902
444, 377498.759038, 5726226.302503, 35.088964
445, 374268.703334, 5729618.800497, 67.410348
446, 381191.565123, 5726488.592049, 8.599267
447, 379536.505191, 5730525.564583, 14.430954
448, 381305.988141, 5729923.870847, 53.473605
